Stock,Asset Turnover,Asset Turnover (Average),Asset Turnover (Average) YOY,Asset Turnover YOY,Book Value Per Share * USD,Book Value Per Share * USD YOY,Cap Ex as a % of Sales,Cap Spending USD Mil,Cash & Short-Term Investments,Cash & Short-Term Investments YOY,EBT Margin,Earnings Per Share USD,Earnings Per Share USD YOY,Financial Leverage,Financial Leverage (Average),Fixed Assets Turnover,Free Cash Flow Per Share * USD,Free Cash Flow Per Share * USD YOY,Free Cash Flow USD Mil,Free Cash Flow USD Mil YOY,Free Cash Flow/Net Income,Free Cash Flow/Net Income YOY,Free Cash Flow/Sales %,Mean Future Fractional Price Change,Mean Past Fractional Price Change,Mean Price,Net Income USD Mil,Net Income USD Mil YOY,Net Margin %,Net PP&E,Net PP&E YOY,Operating Cash Flow USD Mil,Operating Cash Flow USD Mil YOY,Operating Income USD Mil,Operating Income USD Mil YOY,Operating Margin,Operating Margin %,Return on Assets %,Return on Assets % YOY,Return on Equity %,Revenue,Revenue USD Mil,Revenue USD Mil YOY,Revenue YOY,Shares Mil,Shares Mil YOY,Total Assets,Total Assets YOY,Total Liabilities,Total Liabilities & Equity,Total Liabilities & Equity YOY,Total Liabilities YOY,Total Stockholders' Equity,Total Stockholders' Equity YOY,Working Capital Ratio,P/E Ratio,P/B Ratio,D/E Ratio,Working Capital Ratio YOY,P/E Ratio YOY,P/B Ratio YOY,D/E Ratio YOY
CCO,0.44,0.44,0.977777777778,0.977777777778,-1.33,1.43010752688,7.78,-218.0,6.49,2.21501706485,-0.75,-0.27,9.0,2.42,2.42,1.59,0.14,0.4375,81.0,0.692307692308,-0.84,0.0686835650041,2.87,1.54105688052,0.571350141586,3.37430763636,-96.0,9.6,-3.42,25.61,0.855091819699,299.0,0.859195402299,261.0,0.925531914894,9.3,9.3,-1.51,10.0666666667,8.47,100.0,2.806,0.947652819993,1.0,360.0,1.00278551532,100.0,1.0,111.91,100.0,1.0,1.06166397875,-11.91,2.20147874307,0.893575194353,-12.4974356902,-2.5370734108,-9.39630562552,0.941917612367,0.0634833490651,0.399515512538,0.482250388332
CCOI,0.57,0.57,1.14,1.14,0.02,0.00854700854701,8.8,-36.0,30.72,0.813128639492,3.14,0.11,5.5,2.42,2.42,1.12,0.8,1.37931034483,48.0,3.69230769231,9.85,0.603184323331,11.93,1.23065007613,1.03377895813,32.6830751364,5.0,5.0,1.21,54.33,1.14717060811,84.0,1.15068493151,53.0,1.0,13.12,13.1,0.69,6.27272727273,13.69,100.0,404.0,1.06315789474,1.0,45.0,0.978260869565,100.0,1.0,101.85,100.0,1.0,1.14438202247,-1.85,-0.168181818182,0.981836033382,297.118864876,1634.15375682,-55.0540540541,0.873834069712,0.187959810569,120.952138101,-6.80443364711
CCRN,2.22,2.22,1.03255813953,1.03255813953,4.43,0.926778242678,0.31,-2.0,0.67,0.435064935065,0.54,0.14,-0.137254901961,2.6,2.6,67.9,0.48,-1.41176470588,16.0,-1.77777777778,3.59,13.2962962963,2.07,0.880685858727,1.50047761901,17.1354544091,4.0,-0.125,0.58,2.86,0.766756032172,18.0,-4.5,21.0,-2.1,2.68,2.7,1.28,-0.115419296664,3.26,100.0,767.0,1.24110032362,1.0,32.0,1.03225806452,100.0,1.0,61.53,100.0,1.0,1.02464612823,38.47,0.962953692115,1.62522346823,122.396102922,3.86804839935,1.59942812581,0.975946692667,-10.9320512242,1.61902551216,1.06406583891
CCUR,1.07,1.07,0.8359375,0.8359375,4.24,1.46206896552,3.02,-2.0,43.98,0.977333333333,0.91,-0.02,-0.00980392156863,1.58,1.58,23.32,0.96,4.57142857143,2.0,0.4,-8.44,-32.4615384615,2.47,0.991469107637,0.864413688726,5.51560118182,-0.0,-0.0,-0.54,4.23,0.856275303644,4.0,0.571428571429,1.0,0.2,1.85,1.9,-0.57,-0.0170709793351,-0.9,100.0,64.0,0.901408450704,1.0,9.0,1.0,100.0,1.0,36.75,100.0,1.0,1.045221843,63.25,0.975478099938,2.72108843537,-275.780059091,1.30084933533,0.581027667984,0.956734693881,-88.17019625,0.591226343703,1.07149698498
CDE,0.67,0.67,0.991228070175,0.991228070175,11.4,1.01806008565,3.58,-18.0,8.2,0.967768595041,7.88,0.975,0.986486486486,2.42,2.42,5.32,0.86,0.931348063406,13.0,0.942102478173,0.89,0.831168831169,5.37,3.72404770291,0.556830440326,2.58090909091,16.0,1.0,5.4,13.73,1.00252016129,33.0,1.01095113902,22.0,1.00697713303,9.09,9.1,2.45,0.934959349593,8.47,100.0,25.0,1.02803738318,1.0,46.0,1.0,100.0,1.0,60.82,100.0,1.0,1.00709379574,39.9,0.984635213248,1.64419598816,2.64708624709,0.22639553429,1.52431077694,0.992956171739,0.564458254577,0.546952432548,1.0228090385
CDI,0.67,0.67,0.991228070175,0.991228070175,11.4,1.01806008565,3.58,-18.0,8.2,0.967768595041,7.88,0.975,0.986486486486,2.42,2.42,5.32,0.86,0.931348063406,13.0,0.942102478173,0.89,0.831168831169,5.37,1.14863745284,0.413822213548,6.79272727273,16.0,1.0,5.4,13.73,1.00252016129,33.0,1.01095113902,22.0,1.00697713303,9.09,9.1,2.45,0.934959349593,8.47,100.0,25.0,1.02803738318,1.0,46.0,1.0,100.0,1.0,60.82,100.0,1.0,1.00709379574,39.9,0.984635213248,1.64419598816,6.9668997669,0.595853269538,1.52431077694,0.992956171739,0.419491010994,0.406481129534,1.0228090385
CDNS,0.61,0.61,1.08928571429,1.08928571429,4.65,1.05922551253,2.63,-45.0,30.25,0.949466415568,15.72,0.81,1.55769230769,1.71,1.71,7.42,1.09,1.23863636364,333.0,1.20216606498,1.32,0.758620689655,19.59,1.20125380101,1.14867871414,21.3586362273,252.0,1.58490566038,14.83,9.72,1.35564853556,378.0,1.19242902208,285.0,1.3768115942,16.77,16.8,9.08,1.60992907801,18.63,100.0,1.702,1.07653383934,1.0,312.0,1.01628664495,100.0,1.0,41.47,100.0,1.0,0.709495295124,58.53,1.40866425993,2.41138172173,26.3686867004,4.59325510265,0.708525542457,1.40945261635,0.737423372042,1.08445151722,0.503665291515
CDR,0.11,0.11,1.0,1.0,4.73,0.979296066253,37.32,-56.0,0.16,0.592592592593,14.49,0.09,0.5,3.26,3.26,0.12,0.23,-0.450980392157,3.0,-0.75,0.16,-1.06666666667,2.31,0.923511393336,1.04896344697,6.84327040909,22.0,0.758620689655,5.19,94.56,1.00585044144,59.0,1.1568627451,50.0,0.980392156863,33.51,33.5,0.59,0.531531531532,1.97,100.0,149.0,1.00675675676,1.0,81.0,1.08,100.0,1.0,54.9,100.0,1.0,0.984930032293,45.1,1.01897876186,1.82149362477,76.0363378788,1.44678021334,1.21729490022,1.01530054645,2.09792689394,1.07114026403,0.966585437458
CDTI,1.49,1.49,1.0275862069,1.0275862069,0.43,0.16862745098,1.66,-1.0,11.78,0.462323390895,-22.2,-2.7,0.692307692308,57.44,57.44,27.45,-4.04,1.54789272031,-12.0,1.2,1.43,1.28828828829,-30.81,0.429155834996,0.547624557855,5.37045454545,-9.0,1.0,-21.48,6.13,1.27974947808,-12.0,1.2,-10.0,1.25,-25.97,-26.0,-31.94,0.969936228363,-229.72,100.0,40.0,0.975609756098,1.0,3.0,1.5,100.0,1.0,98.26,100.0,1.0,1.30456718003,1.74,0.0705024311183,1.01770812131,-1.98905723906,12.4894291755,56.4712643678,0.766537756972,0.791013250235,3.24754098264,18.5038609213
CDZI,0.67,0.67,0.991228070175,0.991228070175,-3.05,1.08540925267,298.03,-1.0,4.85,0.204124579125,7.88,-1.35,1.17391304348,2.42,2.42,0.01,-0.65,0.902777777778,-13.0,1.3,0.56,1.03703703704,5.37,2.62045737662,0.384160463193,4.22227272727,-24.0,1.26315789474,5.4,80.25,1.25429821819,-13.0,1.3,-14.0,1.4,9.09,9.1,-38.85,1.36220196353,8.47,100.0,0.0,1.02803738318,1.0,18.0,1.125,100.0,1.0,201.95,100.0,1.0,1.27606470365,-101.95,1.74991417782,0.495172072295,-3.12760942761,-1.38435171386,-1.98087297695,0.783659321616,0.327247801979,0.353931443138,0.729215592298
CE,0.65,0.65,0.855263157895,0.855263157895,18.84,0.978701298701,9.16,-520.0,11.61,1.26058631922,8.6,2.0,0.5,3.61,3.61,1.55,1.6,0.669456066946,342.0,1.20422535211,1.13,2.45652173913,6.03,1.23301938524,1.1398035787,65.7762032273,304.0,0.487179487179,5.36,42.03,0.992912827782,862.0,0.89604989605,326.0,0.430079155673,5.75,5.7,3.49,0.498571428571,11.7,100.0,5.674,0.834166421641,1.0,152.0,0.974358974359,100.0,1.0,72.3,100.0,1.0,1.06261022928,27.7,0.866708385482,1.38312586445,32.8881016137,3.49130590378,2.61010830325,0.941078838172,2.2796071574,1.16460822134,1.22602970858
CECE,0.73,0.73,1.05797101449,1.05797101449,7.21,1.06499261448,0.21,-1.0,5.71,1.22269807281,-0.84,-0.19,-0.38,2.5,2.5,11.49,-0.06,-0.0845070422535,12.0,0.8,-2.12,-1.8275862069,3.23,1.91814631109,0.535107337356,7.39169377273,-6.0,-0.461538461538,-1.52,7.51,1.63973799127,13.0,0.8125,5.0,0.227272727273,1.35,1.3,-1.11,-0.32361516035,-2.67,100.0,367.0,1.39543726236,1.0,29.0,1.11538461538,100.0,1.0,60.06,100.0,1.0,1.06754354781,39.94,0.913122999543,1.665001665,-38.9036514354,1.02520024587,1.50375563345,0.936729936733,-1.40817720357,0.502451688472,1.16911253834
